query,iteration,status,validation,row_count,client_elapsed_s,server_elapsed_s,query_id,error,validation_error,server_version
query_01,1,OK,,4,1.1738984160037944,0.921,01c5a813-0817-d9e1-0009-7101578b0f2b,,,10.23.106 b20260710213651e7744f5c
query_02,1,OK,,100,1.0039615409987164,0.463,01c5a814-0817-d8aa-0009-7101578b1db3,,,10.23.106 b20260710213651e7744f5c
query_03,1,OK,,10,1.2259634580041165,0.966,01c5a814-0817-d9e1-0009-7101578b3363,,,10.23.106 b20260710213651e7744f5c
query_04,1,OK,,5,0.9965105000010226,0.746,01c5a814-0817-d8aa-0009-7101578b416f,,,10.23.106 b20260710213651e7744f5c
query_05,1,OK,,5,1.7925064580049366,1.533,01c5a814-0817-d8aa-0009-7101578b4533,,,10.23.106 b20260710213651e7744f5c
query_06,1,OK,,1,0.3832750000001397,0.14,01c5a814-0817-d9e1-0009-7101578b37c7,,,10.23.106 b20260710213651e7744f5c
query_07,1,OK,,4,1.2198254589966382,0.971,01c5a814-0817-d8aa-0009-7101578b4733,,,10.23.106 b20260710213651e7744f5c
query_08,1,OK,,2,0.9892457500027376,0.712,01c5a814-0817-d8aa-0009-7101578b47db,,,10.23.106 b20260710213651e7744f5c
query_09,1,OK,,175,1.6392267500050366,1.334,01c5a814-0817-d9e1-0009-7101578b3d03,,,10.23.106 b20260710213651e7744f5c
query_10,1,OK,,20,1.2689202080000541,1.011,01c5a814-0817-d8aa-0009-7101578b4c3b,,,10.23.106 b20260710213651e7744f5c
query_11,1,OK,,0,0.6189247089932906,0.369,01c5a815-0817-d9e1-0009-7101578b3f5f,,,10.23.106 b20260710213651e7744f5c
query_12,1,OK,,2,0.62141650000558,0.369,01c5a815-0817-d9e1-0009-7101578b702b,,,10.23.106 b20260710213651e7744f5c
query_13,1,OK,,45,2.311702792001597,1.883,01c5a815-0817-d8aa-0009-7101578b835f,,,10.23.106 b20260710213651e7744f5c
query_14,1,OK,,1,0.5744615830044495,0.328,01c5a815-0817-d8aa-0009-7101578b84a3,,,10.23.106 b20260710213651e7744f5c
query_15,1,OK,,1,0.6961691670003347,0.42,01c5a815-0817-d8aa-0009-7101578b8567,,,10.23.106 b20260710213651e7744f5c
query_16,1,OK,,27840,2.046675417004735,0.56,01c5a815-0817-d9e1-0009-7101578b777f,,,10.23.106 b20260710213651e7744f5c
query_17,1,OK,,1,0.9200094580010045,0.59,01c5a815-0817-d9e1-0009-7101578b785b,,,10.23.106 b20260710213651e7744f5c
query_18,1,OK,,100,2.534960458004207,2.227,01c5a815-0817-d8aa-0009-7101578b8b87,,,10.23.106 b20260710213651e7744f5c
query_19,1,OK,,1,0.8159170409999206,0.474,01c5a816-0817-d8aa-0009-7101578bb1cb,,,10.23.106 b20260710213651e7744f5c
query_20,1,OK,,17971,2.0588957919972017,0.501,01c5a816-0817-d8aa-0009-7101578bb407,,,10.23.106 b20260710213651e7744f5c
query_21,1,OK,,100,1.7028465830007917,1.451,01c5a816-0817-d9e1-0009-7101578bc1f7,,,10.23.106 b20260710213651e7744f5c
query_22,1,OK,,7,0.7076768749975599,0.453,01c5a816-0817-d9e1-0009-7101578bc47b,,,10.23.106 b20260710213651e7744f5c
