query,iteration,status,validation,row_count,client_elapsed_s,server_elapsed_s,query_id,error,validation_error,server_version
query_01,1,OK,,4,0.42650995800067903,0.193,01c5a812-0817-d60d-0009-7101578ae66f,,,10.23.106 b20260710213651e7744f5c
query_02,1,OK,,100,0.37236829200264765,0.143,01c5a812-0817-d60d-0009-7101578ae77f,,,10.23.106 b20260710213651e7744f5c
query_03,1,OK,,10,0.37173779099975945,0.148,01c5a812-0817-d60d-0009-7101578ae85f,,,10.23.106 b20260710213651e7744f5c
query_04,1,OK,,5,0.34793275000265567,0.12,01c5a812-0817-d60d-0009-7101578ae8ff,,,10.23.106 b20260710213651e7744f5c
query_05,1,OK,,5,0.38783391699689673,0.165,01c5a812-0817-d60d-0009-7101578ae99b,,,10.23.106 b20260710213651e7744f5c
query_06,1,OK,,1,0.27591250000114087,0.056,01c5a812-0817-d60d-0009-7101578aea77,,,10.23.106 b20260710213651e7744f5c
query_07,1,OK,,4,0.4603500420053024,0.217,01c5a812-0817-d60d-0009-7101578aeb27,,,10.23.106 b20260710213651e7744f5c
query_08,1,OK,,2,0.3960637919954024,0.162,01c5a812-0817-d60d-0009-7101578aebd7,,,10.23.106 b20260710213651e7744f5c
query_09,1,OK,,175,0.590498083998682,0.274,01c5a812-0817-d60d-0009-7101578aec9f,,,10.23.106 b20260710213651e7744f5c
query_10,1,OK,,20,0.44205329100077506,0.207,01c5a812-0817-d60d-0009-7101578aedc3,,,10.23.106 b20260710213651e7744f5c
query_11,1,OK,,0,0.4168921250020503,0.167,01c5a812-0817-d60d-0009-7101578aedef,,,10.23.106 b20260710213651e7744f5c
query_12,1,OK,,2,0.36817979099578224,0.125,01c5a812-0817-d60d-0009-7101578aeedf,,,10.23.106 b20260710213651e7744f5c
query_13,1,OK,,46,0.5291450419972534,0.29,01c5a812-0817-d60d-0009-7101578aef93,,,10.23.106 b20260710213651e7744f5c
query_14,1,OK,,1,0.29564766599651193,0.074,01c5a812-0817-d60d-0009-7101578af09f,,,10.23.106 b20260710213651e7744f5c
query_15,1,OK,,1,0.2983661670004949,0.076,01c5a812-0817-d60d-0009-7101578af157,,,10.23.106 b20260710213651e7744f5c
query_16,1,OK,,27840,1.2471807089968934,0.206,01c5a813-0817-d60d-0009-7101578af337,,,10.23.106 b20260710213651e7744f5c
query_17,1,OK,,1,0.31460170799982734,0.095,01c5a813-0817-d60d-0009-7101578af463,,,10.23.106 b20260710213651e7744f5c
query_18,1,OK,,100,0.6283210839974345,0.405,01c5a813-0817-d60d-0009-7101578af577,,,10.23.106 b20260710213651e7744f5c
query_19,1,OK,,1,0.40153733400075,0.158,01c5a813-0817-d60d-0009-7101578af697,,,10.23.106 b20260710213651e7744f5c
query_20,1,OK,,1804,0.955270999998902,0.194,01c5a813-0817-d60d-0009-7101578af82b,,,10.23.106 b20260710213651e7744f5c
query_21,1,OK,,100,0.4586374580030679,0.233,01c5a813-0817-d60d-0009-7101578af963,,,10.23.106 b20260710213651e7744f5c
query_22,1,OK,,7,0.40171116599958623,0.163,01c5a813-0817-d60d-0009-7101578af9d3,,,10.23.106 b20260710213651e7744f5c
