query,iteration,status,validation,row_count,client_elapsed_s,server_elapsed_s,query_id,error,validation_error,server_version
query_01,1,OK,,4,0.5551729590006289,0.302,01c5a810-0817-d8aa-0009-7101578a6a6b,,,10.23.106 b20260710213651e7744f5c
query_02,1,OK,,100,0.6271349169983296,0.317,01c5a810-0817-d8aa-0009-7101578a6bd7,,,10.23.106 b20260710213651e7744f5c
query_03,1,OK,,10,0.5484448749994044,0.274,01c5a811-0817-d8aa-0009-7101578a6caf,,,10.23.106 b20260710213651e7744f5c
query_04,1,OK,,5,0.4741831249993993,0.226,01c5a811-0817-d9e1-0009-7101578a8457,,,10.23.106 b20260710213651e7744f5c
query_05,1,OK,,5,0.5458975839937921,0.298,01c5a811-0817-d8aa-0009-7101578a6e1b,,,10.23.106 b20260710213651e7744f5c
query_06,1,OK,,1,0.32826887499686563,0.096,01c5a811-0817-d8aa-0009-7101578a6e9b,,,10.23.106 b20260710213651e7744f5c
query_07,1,OK,,4,0.5706978329981212,0.318,01c5a811-0817-d8aa-0009-7101578aa14b,,,10.23.106 b20260710213651e7744f5c
query_08,1,OK,,2,0.5879251669975929,0.327,01c5a811-0817-d9e1-0009-7101578a8703,,,10.23.106 b20260710213651e7744f5c
query_09,1,OK,,175,0.7617996660046629,0.443,01c5a811-0817-d8aa-0009-7101578aa393,,,10.23.106 b20260710213651e7744f5c
query_10,1,OK,,20,0.6210584999935236,0.363,01c5a811-0817-d9e1-0009-7101578a893b,,,10.23.106 b20260710213651e7744f5c
query_11,1,OK,,0,0.5095365409943042,0.261,01c5a811-0817-d8aa-0009-7101578aa50f,,,10.23.106 b20260710213651e7744f5c
query_12,1,OK,,2,0.43268150000221794,0.171,01c5a811-0817-d8aa-0009-7101578aa587,,,10.23.106 b20260710213651e7744f5c
query_13,1,OK,,46,0.7171554590022424,0.46,01c5a811-0817-d9e1-0009-7101578a8b03,,,10.23.106 b20260710213651e7744f5c
query_14,1,OK,,1,0.40031858300062595,0.146,01c5a811-0817-d8aa-0009-7101578aa713,,,10.23.106 b20260710213651e7744f5c
query_15,1,OK,,1,0.5185382920026314,0.264,01c5a811-0817-d8aa-0009-7101578aa79b,,,10.23.106 b20260710213651e7744f5c
query_16,1,OK,,27840,1.4551226670009783,0.37,01c5a811-0817-d8aa-0009-7101578aa8eb,,,10.23.106 b20260710213651e7744f5c
query_17,1,OK,,1,0.48034000000188826,0.228,01c5a811-0817-d8aa-0009-7101578aa9e7,,,10.23.106 b20260710213651e7744f5c
query_18,1,OK,,100,0.9566380830001435,0.673,01c5a811-0817-d8aa-0009-7101578aaadb,,,10.23.106 b20260710213651e7744f5c
query_19,1,OK,,1,0.5387221249984577,0.261,01c5a812-0817-d9e1-0009-7101578ac107,,,10.23.106 b20260710213651e7744f5c
query_20,1,OK,,1804,1.0623627089953516,0.316,01c5a812-0817-d9e1-0009-7101578ac233,,,10.23.106 b20260710213651e7744f5c
query_21,1,OK,,100,0.7619421670024167,0.505,01c5a812-0817-d8aa-0009-7101578ad1e3,,,10.23.106 b20260710213651e7744f5c
query_22,1,OK,,7,0.4838957499960088,0.232,01c5a812-0817-d9e1-0009-7101578ac453,,,10.23.106 b20260710213651e7744f5c
