query,iteration,status,validation,row_count,client_elapsed_s,server_elapsed_s,query_id,error,validation_error,server_version
query_01,1,OK,,4,1.4790291249955771,1.24,01c5a81e-0817-d60d-0009-7101578d99c7,,,10.23.106 b20260710213651e7744f5c
query_02,1,OK,,100,0.7523631250005565,0.512,01c5a81e-0817-d60d-0009-7101578d9b67,,,10.23.106 b20260710213651e7744f5c
query_03,1,OK,,10,1.449797249995754,1.225,01c5a81e-0817-d60d-0009-7101578d9db3,,,10.23.106 b20260710213651e7744f5c
query_04,1,OK,,5,1.2211180419981247,0.953,01c5a81e-0817-d60d-0009-7101578dd093,,,10.23.106 b20260710213651e7744f5c
query_05,1,OK,,5,1.6023764579949784,1.373,01c5a81e-0817-d60d-0009-7101578dd2af,,,10.23.106 b20260710213651e7744f5c
query_06,1,OK,,1,0.4276701669950853,0.199,01c5a81e-0817-d60d-0009-7101578dd46b,,,10.23.106 b20260710213651e7744f5c
query_07,1,OK,,4,1.5223707920013112,1.265,01c5a81e-0817-d60d-0009-7101578dd497,,,10.23.106 b20260710213651e7744f5c
query_08,1,OK,,2,1.2088247089996003,0.987,01c5a81f-0817-d60d-0009-7101578dd8a3,,,10.23.106 b20260710213651e7744f5c
query_09,1,OK,,175,3.6298565000033705,3.357,01c5a81f-0817-d60d-0009-7101578ddd2b,,,10.23.106 b20260710213651e7744f5c
query_10,1,OK,,20,1.9171284580006613,1.682,01c5a81f-0817-d60d-0009-7101578e117f,,,10.23.106 b20260710213651e7744f5c
query_11,1,OK,,0,0.7076846250056406,0.472,01c5a81f-0817-d60d-0009-7101578e13bf,,,10.23.106 b20260710213651e7744f5c
query_12,1,OK,,2,0.807904041997972,0.551,01c5a81f-0817-d60d-0009-7101578e14df,,,10.23.106 b20260710213651e7744f5c
query_13,1,OK,,30,2.9119138329988346,2.69,01c5a81f-0817-d60d-0009-7101578e1763,,,10.23.106 b20260710213651e7744f5c
query_14,1,OK,,1,0.562702832998184,0.337,01c5a820-0817-d60d-0009-7101578e1b73,,,10.23.106 b20260710213651e7744f5c
query_15,1,OK,,1,0.5375089999943157,0.292,01c5a820-0817-d60d-0009-7101578e1c87,,,10.23.106 b20260710213651e7744f5c
query_16,1,OK,,27840,1.494201499997871,0.701,01c5a820-0817-d60d-0009-7101578e1ebb,,,10.23.106 b20260710213651e7744f5c
query_17,1,OK,,1,0.7377534589977586,0.497,01c5a820-0817-d60d-0009-7101578e409b,,,10.23.106 b20260710213651e7744f5c
query_18,1,OK,,100,4.064354833004472,3.831,01c5a820-0817-d60d-0009-7101578e457b,,,10.23.106 b20260710213651e7744f5c
query_19,1,OK,,1,1.1438564999989467,0.87,01c5a820-0817-d60d-0009-7101578e4913,,,10.23.106 b20260710213651e7744f5c
query_20,1,OK,,112013,3.9620145830049296,0.816,01c5a821-0817-d60d-0009-7101578e4f0b,,,10.23.106 b20260710213651e7744f5c
query_21,1,OK,,100,3.4343566249954165,3.146,01c5a821-0817-d60d-0009-7101578e7373,,,10.23.106 b20260710213651e7744f5c
query_22,1,OK,,7,0.823488540998369,0.56,01c5a821-0817-d60d-0009-7101578e78f3,,,10.23.106 b20260710213651e7744f5c
