query,iteration,status,validation,row_count,client_elapsed_s,server_elapsed_s,query_id,error,validation_error,server_version
query_01,1,OK,,4,0.7666339999996126,0.53,01c5a816-0817-d60d-0009-7101578bda0b,,,10.23.106 b20260710213651e7744f5c
query_02,1,OK,,100,0.4472370830044383,0.205,01c5a816-0817-d60d-0009-7101578bdbfb,,,10.23.106 b20260710213651e7744f5c
query_03,1,OK,,10,0.863155667000683,0.635,01c5a816-0817-d60d-0009-7101578bdcdf,,,10.23.106 b20260710213651e7744f5c
query_04,1,OK,,5,0.5253406249976251,0.29,01c5a817-0817-d60d-0009-7101578bde9b,,,10.23.106 b20260710213651e7744f5c
query_05,1,OK,,5,0.817808416999469,0.509,01c5a817-0817-d60d-0009-7101578bdfab,,,10.23.106 b20260710213651e7744f5c
query_06,1,OK,,1,0.32552833299996564,0.094,01c5a817-0817-d60d-0009-7101578c009b,,,10.23.106 b20260710213651e7744f5c
query_07,1,OK,,4,0.9153466670031776,0.668,01c5a817-0817-d60d-0009-7101578c01cb,,,10.23.106 b20260710213651e7744f5c
query_08,1,OK,,2,0.6149014170005103,0.379,01c5a817-0817-d60d-0009-7101578c0327,,,10.23.106 b20260710213651e7744f5c
query_09,1,OK,,175,1.2884400830007507,1.009,01c5a817-0817-d60d-0009-7101578c0463,,,10.23.106 b20260710213651e7744f5c
query_10,1,OK,,20,0.9392332920033368,0.695,01c5a817-0817-d60d-0009-7101578c06af,,,10.23.106 b20260710213651e7744f5c
query_11,1,OK,,0,0.4917533330008155,0.249,01c5a817-0817-d60d-0009-7101578c07ff,,,10.23.106 b20260710213651e7744f5c
query_12,1,OK,,2,0.538661750004394,0.269,01c5a817-0817-d60d-0009-7101578c092f,,,10.23.106 b20260710213651e7744f5c
query_13,1,OK,,45,1.3075853750051465,1.051,01c5a817-0817-d60d-0009-7101578c0b87,,,10.23.106 b20260710213651e7744f5c
query_14,1,OK,,1,0.34606358299788553,0.127,01c5a817-0817-d60d-0009-7101578c0c87,,,10.23.106 b20260710213651e7744f5c
query_15,1,OK,,1,0.37972329200420063,0.155,01c5a817-0817-d60d-0009-7101578c0d13,,,10.23.106 b20260710213651e7744f5c
query_16,1,OK,,27840,1.4241199999960372,0.351,01c5a817-0817-d60d-0009-7101578c0f77,,,10.23.106 b20260710213651e7744f5c
query_17,1,OK,,1,0.44195166700228583,0.213,01c5a817-0817-d60d-0009-7101578c2077,,,10.23.106 b20260710213651e7744f5c
query_18,1,OK,,100,1.5925315829954343,1.359,01c5a817-0817-d60d-0009-7101578c2173,,,10.23.106 b20260710213651e7744f5c
query_19,1,OK,,1,0.6074242079994292,0.362,01c5a818-0817-d60d-0009-7101578c2433,,,10.23.106 b20260710213651e7744f5c
query_20,1,OK,,17971,1.8570965000035358,0.378,01c5a818-0817-d60d-0009-7101578c25e3,,,10.23.106 b20260710213651e7744f5c
query_21,1,OK,,100,1.1757307919979212,0.924,01c5a818-0817-d60d-0009-7101578c294f,,,10.23.106 b20260710213651e7744f5c
query_22,1,OK,,7,0.5221740409979247,0.274,01c5a818-0817-d60d-0009-7101578c2b27,,,10.23.106 b20260710213651e7744f5c
